bsdb,id,e,q,period,a,parallax,i,notes
J153521.02+090806.4:p1-2,139017,,,,,2.43,, | ref_idsys: HD | id: 139017 | catalogue: Hipparcos | filename: hip_main.dat
J153528.30+432849.0:p1-2,YY Boo,,,3.933085,,,, | ref_idsys: GCVS | id: YY Boo | catalogue: B/gcvs; CEV | filename: gcvs_cat.dat; catalog.dat
J153528.39-475057.2:p1-2,138676,,,,,17.17,, | ref_idsys: HD | id: 138676 | catalogue: Hipparcos | filename: hip_main.dat
J153547.31-565414.6:p1-2,138589,,,,,10.28,, | ref_idsys: HD | id: 138589 | catalogue: Hipparcos | filename: hip_main.dat
J153551.03+125457.9:p1-2,139086,,,,,12.19,, | ref_idsys: HD | id: 139086 | catalogue: Hipparcos | filename: hip_main.dat
J153553.20-445731.0:p1-2,138769,,,,,7.51,, | ref_idsys: HD | id: 138769 | catalogue: Hipparcos | filename: hip_main.dat
J153602.18+394809.4:c1,15360+3948AB,0.59,,20307.9,0.794,,63.0, | ref_idsys: WDS | id: 15360+3948AB | catalogue: ORB6; J/A+A/546/A69 | filename: orb6.dat; table2.dat
J153602.18+394809.4:p1-2,9716,0.5866666666666666,,20307.9,0.7946666666666666,44.83,63.0, | ref_idsys: ADS | id: 9716 | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat
J153602.18+394809.4:p1-4,9716; 139341; 76382,0.5870967741935483,,20307.9,0.7945806451612903,45.01545454545454,63.0, | ref_idsys: ADS; HD; HIP | id: 9716; 139341; 76382 | catalogue: J/A+A/546/A69; ORB6; Hipparcos | filename: table1.dat; orb6.dat; hip_main.dat
J153602.18+394809.4:p1A-1B,9716; 139341; 76382; 15360+3948AB,0.5878125,,20307.9,0.7944375,45.01,63.0, | ref_idsys: ADS; HD; HIP; WDS | id: 9716; 139341; 76382; 15360+3948AB | catalogue: J/A+A/546/A69; ORB6; Hipparcos | filename: table1.dat; orb6.dat; hip_main.dat; table2.dat
J153602.18+394809.4:p2-4,9716,0.5866666666666666,,20307.9,0.7946666666666667,44.83,63.0, | ref_idsys: ADS | id: 9716 | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat
J153602.18+394809.4:p5-6,9716; 139341; 76382,0.5871428571428571,,20307.9,0.7945714285714286,45.034,63.0, | ref_idsys: ADS; HD; HIP | id: 9716; 139341; 76382 | catalogue: J/A+A/546/A69; ORB6; Hipparcos | filename: table1.dat; orb6.dat; hip_main.dat
J153602.18+394809.4:p5-7,9716; 139341; 76382,0.5871428571428571,,20307.9,0.7945714285714286,45.034,63.0, | ref_idsys: ADS; HD; HIP | id: 9716; 139341; 76382 | catalogue: J/A+A/546/A69; ORB6; Hipparcos | filename: table1.dat; orb6.dat; hip_main.dat
J153605.02+553119.0:p1-2,238482,,,,,5.23,, | ref_idsys: HD | id: 238482 | catalogue: Hipparcos | filename: hip_main.dat
J153606.20+484856.5:p1-2,139439,,,,,5.025,, | ref_idsys: HD | id: 139439 | catalogue: Hipparcos | filename: hip_main.dat
J153607.94-814333.0:p1-2,137144,,,,,8.67,, | ref_idsys: HD | id: 137144 | catalogue: Hipparcos | filename: hip_main.dat
J153611.94-650652.4:p1-2,138497,,,,,4.56,, | ref_idsys: HD | id: 138497 | catalogue: Hipparcos | filename: hip_main.dat
